Time,Name,IP,Status,Latency_ms
2025-11-10 12:01:13,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:01:15,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:01:17,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:01:19,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:01:21,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:01:23,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:01:31,Shakti_2.4GHz,192.168.1.1,UP,10.0
2025-11-10 12:01:33,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:01:35,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:01:37,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:01:39,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:01:41,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:01:43,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:01:45,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:01:47,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:01:49,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:01:57,Shakti_2.4GHz,192.168.1.1,UP,2.0
2025-11-10 12:01:59,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:02:01,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:02:03,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:02:05,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:02:07,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:02:09,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:02:11,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:02:13,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:02:15,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:02:23,Shakti_2.4GHz,192.168.1.1,UP,3.0
2025-11-10 12:02:25,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:02:27,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:02:29,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:02:31,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:02:33,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:02:35,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:02:37,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:02:39,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:02:41,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:02:49,Shakti_2.4GHz,192.168.1.1,UP,75.0
2025-11-10 12:02:51,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:02:53,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:02:55,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:02:57,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:02:59,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:03:01,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:03:03,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:03:05,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:03:07,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:03:15,Shakti_2.4GHz,192.168.1.1,UP,2.0
2025-11-10 12:03:17,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:03:19,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:03:21,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:03:23,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:03:25,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:03:27,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:03:29,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:03:31,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:03:33,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:03:42,Shakti_2.4GHz,192.168.1.1,UP,6.0
2025-11-10 12:03:43,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:03:45,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:03:47,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:03:49,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:03:51,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:03:53,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:03:55,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:03:57,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:03:59,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:04:07,Shakti_2.4GHz,192.168.1.1,UP,4.0
2025-11-10 12:04:09,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:04:11,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:04:13,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:04:15,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:04:17,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:04:19,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:04:21,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:04:23,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:04:25,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:04:33,Shakti_2.4GHz,192.168.1.1,UP,6.0
2025-11-10 12:04:35,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:04:37,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:04:39,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:04:41,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:04:43,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:04:45,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:04:47,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:04:49,Airtel_Zerotouch,192.168.1.9,DOWN,
